,n,ME,MAE,RMSE,MedianAE,R2,MAPE_%,sMAPE_%,P90_AE,P95_AE
Longitud (mm),1235.0,0.0016923076923076835,0.342,0.40549275267214774,0.3299999999999983,0.999220437528468,0.48084897989405345,0.4808520997494232,0.6500000000000057,0.7099999999999937
Anchura (mm),1235.0,-0.004542510121457335,0.06203238866396744,0.07452358809253745,0.05000000000000071,0.9998730563054952,0.22892039691870927,0.22893635535564677,0.120000000000001,0.14000000000000057
Peso (g),1235.0,0.002688096349456934,0.4456248801580698,0.611029032437563,0.315166340399625,0.9664065179281437,9.439937590539248,9.311394166496587,1.0850691983118974,1.3132613917621299
